,licenses_year,licenses_region,driving_licenses,licenses_x_geo_point,licenses_y_geo_point,traffic_year,traffic_region,traffic_x_geo_point,traffic_y_geo_point,No. of Accidents,No. of Casualties - Dead,No. of Casualties - Injured
0,2017,Hail,22035,27.400845724,41.4406960508,2017,Hail,27.400845724,41.4406960508,9379,265,773
1,2017,Northern Boarder,5280,30.197074783,41.8171186952,2017,Northern Boarder,30.197074783,41.8171186952,11540,112,374
2,2017,Al-Qaseem,6318,26.1967063704,43.3429998455,2017,Al-Qaseem,26.1967063704,43.3429998455,22405,319,1446
3,2017,Eastern,126816,23.2883307307,50.1478302439,2017,Eastern,23.2883307307,50.1478302439,81433,963,4073
4,2017,Tabouk,10232,27.90165499,37.2598581394,2017,Tabouk,27.90165499,37.2598581394,11713,348,1243
5,2016,Northern Boarder,4958,30.197074783,41.8171186952,2016,Northern Boarder,30.197074783,41.8171186952,13196,193,631
6,2016,Najran,2153,18.4511003068,46.8688495726,2016,Najran,18.4511003068,46.8688495726,3235,173,706
7,2017,Makkah,142487,21.628962766,41.2636898334,2017,Makkah,21.628962766,41.2636898334,145541,1641,10623
8,2016,Makkah,136055,21.628962766,41.2636898334,2016,Makkah,21.628962766,41.2636898334,134838,2243,12383
9,2016,Madinah,24540,24.927534539,39.4918237173,2016,Madinah,24.927534539,39.4918237173,14475,822,4184
10,2016,Al-Qaseem,9180,26.1967063704,43.3429998455,2016,Al-Qaseem,26.1967063704,43.3429998455,25664,397,1513
11,2016,Hail,54507,27.400845724,41.4406960508,2016,Hail,27.400845724,41.4406960508,10199,299,932
12,2017,Najran,13825,18.4511003068,46.8688495726,2017,Najran,18.4511003068,46.8688495726,3193,194,766
13,2017,Al-Jouf,8091,29.9677445762,39.5570371172,2017,Al-Jouf,29.9677445762,39.5570371172,10469,240,862
14,2017,Madinah,36165,24.927534539,39.4918237173,2017,Madinah,24.927534539,39.4918237173,16070,580,2917
15,2016,Eastern,142307,23.2883307307,50.1478302439,2016,Eastern,23.2883307307,50.1478302439,101619,1113,4893
16,2017,Assir,39133,19.1387847401,42.941470036,2017,Assir,19.1387847401,42.941470036,25245,828,2368
17,2016,Assir,41367,19.1387847401,42.941470036,2016,Assir,19.1387847401,42.941470036,32684,983,2541
18,2017,Jazan,18345,17.2072313962,42.6525807422,2017,Jazan,17.2072313962,42.6525807422,22161,466,2207
19,2016,Jazan,11504,17.2072313962,42.6525807422,2016,Jazan,17.2072313962,42.6525807422,25873,514,2259
20,2017,Riyadh,495307,23.0814341634,45.5857512766,2017,Riyadh,23.0814341634,45.5857512766,99925,1399,4540
21,2016,Riyadh,242851,23.0814341634,45.5857512766,2016,Riyadh,23.0814341634,45.5857512766,141736,1430,4207
22,2016,Al-Jouf,9371,29.9677445762,39.5570371172,2016,Al-Jouf,29.9677445762,39.5570371172,10212,245,920
23,2016,Tabouk,13610,27.90165499,37.2598581394,2016,Tabouk,27.90165499,37.2598581394,16031,434,1724
