,licenses_year,licenses_region,driving_licenses,traffic_year,traffic_region,traffic_accidents,traffic_dead,traffic_injured
0,2018,Riyadh,493224,2018,Riyadh,79884,1091,4554
1,2018,Al-Qaseem,4457,2018,Al-Qaseem,17510,225,1269
2,2018,Hail,39575,2018,Hail,6955,193,912
3,2018,Najran,7431,2018,Najran,3124,176,654
4,2018,Makkah,144873,2018,Makkah,103973,1301,9931
5,2018,Jazan,12265,2018,Jazan,19572,563,2112
6,2018,Madinah,23335,2018,Madinah,20547,483,2666
7,2018,Assir,22362,2018,Assir,25964,696,2192
8,2018,Al-Jouf,6834,2018,Al-Jouf,7355,157,618
9,2018,Eastern,131639,2018,Eastern,45077,661,2969
10,2018,Tabouk,7613,2018,Tabouk,10034,293,977
11,2018,Al-Baha,2575,2018,Al-Baha,1764,111,935
